cian_id,url,object_type,price_month,area_sqm,price_sqm_month,address,district,okrug,metro_station,metro_walk_min,floor,floors_total,building_class,building_type,renovation,has_furniture,has_ac,has_ventilation,ceiling_height_m,photos_count,source
330031053,https://www.cian.ru/rent/commercial/330031053/,Офис,1252530,671.0,1866.7,"Завода Серп и Молот, 6к1",Лефортово,ЮВАО,Авиамоторная,16.0,4,12,B,Бизнес-центр,,False,,,,15,cloudscraper
328208784,https://www.cian.ru/rent/commercial/328208784/,Офис,2073940,900.0,2304.4,"Таганская, 9",Таганский,ЦАО,Марксистская,3.0,4,5,B,,,False,,,,14,cloudscraper
328209175,https://www.cian.ru/rent/commercial/328209175/,Офис,1020000,408.0,2500.0,"Варшавское, 11",Донской,ЮАО,Тульская,12.0,5,6,B,,,False,,,,17,cloudscraper
328208774,https://www.cian.ru/rent/commercial/328208774/,Офис,1378570,426.0,3236.1,"Новодмитровская, 2к1",Бутырский,СВАО,Дмитровская,9.0,13,20,,Бизнес-центр,,False,,,,24,cloudscraper
328208782,https://www.cian.ru/rent/commercial/328208782/,Офис,1009610,301.0,3354.2,"Днепропетровская, 2",Чертаново Северное,ЮАО,Южная,4.0,4,8,B,Бизнес-центр,,False,,,,19,cloudscraper
328208724,https://www.cian.ru/rent/commercial/328208724/,Офис,839170,190.0,4416.7,"3-я Ямского Поля, 9",Беговой,САО,Белорусская,7.0,2,6,,Жилой дом,,False,,,,11,cloudscraper
328208708,https://www.cian.ru/rent/commercial/328208708/,Офис,9600020,1844.0,5206.1,"Остоженка, 25",Хамовники,ЦАО,Парк Культуры,6.0,1,6,B,Жилой дом,,False,,,,20,cloudscraper
328208802,https://www.cian.ru/rent/commercial/328208802/,Офис,2071420,938.0,2208.3,"Кольская, 2к4",Бабушкинский,СВАО,Свиблово,3.0,6,7,,Бизнес-центр,,False,,,,12,cloudscraper
328209377,https://www.cian.ru/rent/commercial/328209377/,Офис,2034050,351.0,5795.0,"Последний, 19",Мещанский,ЦАО,Сухаревская,5.0,2,4,A,Бизнес-центр,,False,,,,19,cloudscraper
328208754,https://www.cian.ru/rent/commercial/328208754/,Офис,5733960,1092.0,5250.9,"Покровка, 28С2",Басманный,ЦАО,Курская,9.0,1,4,B,,,False,,,,13,cloudscraper
328209608,https://www.cian.ru/rent/commercial/328209608/,Офис,1337000,325.0,4113.8,"Волочаевская, 40ГС4",Лефортово,ЮВАО,Римская,11.0,4,4,A,,,False,,,,15,cloudscraper
328208706,https://www.cian.ru/rent/commercial/328208706/,Офис,1256250,335.0,3750.0,"Петровский, 5С1",Тверской,ЦАО,Пушкинская,6.0,3,4,B,,,False,,,,6,cloudscraper
328208828,https://www.cian.ru/rent/commercial/328208828/,Офис,2081470,280.0,7433.8,"Земляной Вал, 8",Басманный,ЦАО,Курская,7.0,4,7,,Бизнес-центр,,False,,,,39,cloudscraper
328208757,https://www.cian.ru/rent/commercial/328208757/,Офис,1979170,475.0,4166.7,"Цветной, 22С1",Мещанский,ЦАО,Цветной бульвар,5.0,4,6,,Бизнес-центр,,False,,,,15,cloudscraper
328209039,https://www.cian.ru/rent/commercial/328209039/,Офис,2730830,1130.0,2416.7,"Складочная, 3С1",Бутырский,СВАО,Дмитровская,12.0,4,4,,Бизнес-центр,,False,,,,58,cloudscraper
